houseTypes,area,num_floors,bedrooms,address,price,url
Bán Nhà riêng,130,3,7,"Quận 12, TP Hồ Chí Minh",9.2,https://batdongsan.vn/ban-biet-thu-san-vuon-quan-12-130m2-3-tang-7pn-gia-92-ty-gia-rat-tot-chot-bat-ngo-r268184
Bán Nhà riêng,65,,2,"Ngũ Hành Sơn, Đà Nẵng",2.9,https://batdongsan.vn/29-ty-dien-tich-6580m2-nha-kiet-le-van-huu-ngu-hanh-son-da-nang-r268704
Bán Nhà riêng,90,5,5,"Hai Bà Trưng, Hà Nội",14,https://batdongsan.vn/ban-nha-kim-nguu-phan-lo-o-to-no-hau-mat-tien-55m-90m25-tang-thang-may-14-ty-r268701
Bán Nhà riêng,50,5,5,"Quận 3, TP Hồ Chí Minh",0.001,https://batdongsan.vn/quan-3-le-van-sy-5-tang-btct-hem-xe-hoi-thong-1-truc-50m2-oto-ngu-trong-nha-r268700
Bán Nhà riêng,30,1,2,"Gò Vấp, TP Hồ Chí Minh",3.7,https://batdongsan.vn/nha-moi-full-noi-that-hxh-toi-nha-20m-ra-mat-tien-duong-r268686
Bán Nhà riêng,38,3,3,"Bình Thạnh, TP Hồ Chí Minh",4.4,https://batdongsan.vn/ban-gap-nha-dep-dien-bien-phu-phuong-22-binh-thanh-hxh-7-cho-3-tang-chi-4-ty-400-r268684
Bán Nhà riêng,45,2,2,"Tân Phú, TP Hồ Chí Minh",3.9,https://batdongsan.vn/nha-moi-cach-1-can-ra-mat-tien-canh-vua-bien-68-le-trong-tan-39-ty-r268681
Bán Nhà riêng,45,2,2,"Tân Phú, TP Hồ Chí Minh",3.9,https://batdongsan.vn/nha-moi-cach-1-can-ra-mat-tien-canh-vua-bien-68-le-trong-tan-39-ty-r268680
Bán Nhà riêng,51,6,4,"Gò Vấp, TP Hồ Chí Minh",12.7,https://batdongsan.vn/go-vap-khu-nha-cao-tang-thong-nhat-phuong-11-hxh-51m2-6-tang-127-ty-r268677
Bán Nhà mặt phố,50,4,4,"Đống Đa, Hà Nội",25,https://batdongsan.vn/ban-nha-lo-goc-mat-pho-lon-chua-lang-cuc-vip-4-tang-mt-6m-kinh-doanh-sam-uat-chi-25-ty-r268675
Bán Nhà mặt phố,160,,3,"Cà Mau, Cà Mau",4.5,https://batdongsan.vn/can-ban-gap-r268672
Bán Nhà riêng,48,5,4,"Gò Vấp, TP Hồ Chí Minh",7.4,https://batdongsan.vn/nha-moi-o-ngay-hxh-pham-van-chieu-p9-go-vap-472m2-5-tang-chi-74-ty-r268669
Bán Nhà riêng,128,,3,"Vĩnh Cửu, Đồng Nai",1.08,https://batdongsan.vn/ban-nha-1ty080tr-tang-tat-ca-noi-that-ngay-cong-changshin-r268667
Bán Nhà mặt phố,76,3,,"Bình Tân, TP Hồ Chí Minh",7.5,https://batdongsan.vn/ban-nha-goc-2-mt-duong-mieu-go-xoai-dt-4x19m-3-lau-gia-75-ty-tl-lien-he-ngay-r268666
Bán Nhà mặt phố,75,4,,"Từ Sơn, Bắc Ninh",3.65,https://batdongsan.vn/doan-toan-r268665
Bán Nhà riêng,85,2,,"Bình Tân, TP Hồ Chí Minh",5.6,https://batdongsan.vn/ban-nha-hxh-duong-huong-lo-2-dt-5x17m-2-lau-gia-56-ty-tl-lien-he-ngay-r268663
Bán Nhà riêng,48,4,4,"Hồng Bàng, Hải Phòng",3.15,https://batdongsan.vn/ban-nha-4-tang-48m2-huong-dtt-gia-hon-3-ty-do-thi-himlam-hung-vuong-hong-bang-hai-phong-0796-336-866-r268661
Bán Nhà riêng,44,1,,"Bình Tân, TP Hồ Chí Minh",3.57,https://batdongsan.vn/ban-nha-hxh-duong-dat-moi-dt-35x1125m-1-lau-gia-357-ty-tl-lien-he-ngay-r268659
Bán Nhà riêng,40,3,,"Bình Tân, TP Hồ Chí Minh",4.65,https://batdongsan.vn/ban-nha-hxh-duong-so-2-go-xoai-dt-4x10m-3-lau-gia-465-ty-tl-lien-he-ngay-r268658
Bán Nhà mặt phố,,,3,"Liên Chiểu, Đà Nẵng",,https://batdongsan.vn/chinh-chu-can-ban-nha-biet-thu-mini-r268657
Bán Nhà mặt phố,60,5,3,"Bình Tân, TP Hồ Chí Minh",4.8,https://batdongsan.vn/ban-nha-mtkd-mieu-go-xoai-binh-tan-60m-5-tang-so-dep-dt-12trth-chi-48-ty-r268656
Bán Nhà riêng,48,3,4,"Bình Tân, TP Hồ Chí Minh",5.1,https://batdongsan.vn/ban-nha-hxh-thong-duong-huong-lo-2-dt-4x12m-3-lau-gia-51-ty-tl-lien-he-ngay-r268654
Bán Nhà riêng,61,2,4,"Thuận An, Bình Dương",3.2,https://batdongsan.vn/nha-dep-mat-tien-4pn-4-toiletngay-tt-thanh-pho-thuan-an-gia-lo-800-trieu-chi-32-ty-r268653
Bán Nhà mặt phố,52,4,4,"Bình Tân, TP Hồ Chí Minh",5.5,https://batdongsan.vn/ban-nha-hem-635-huong-lo-2-binh-tan-52m2-4-tang-btct-4pn-kinh-doanh-nhinh-5-ty-thuong-luong-0978508087-r268648
Bán Nhà riêng,18,3,2,"Bình Tân, TP Hồ Chí Minh",2.2,https://batdongsan.vn/ban-nha-kinh-duong-vuong-binh-tan-hem-3-gac-nha-3-tang-2-pn-full-cong-nang-chi-22-ty-tl-0978508087-r268647
Bán Nhà riêng,56,2,2,"Bình Tân, TP Hồ Chí Minh",4.5,https://batdongsan.vn/ban-nha-huong-lo-2-binh-tan-hxh-dt-56m2-2-tang-2-pn-ban-gap-ve-que-chi-45-ty-thuong-luong-0978508087-r268646
Bán Nhà mặt phố,80,2,2,"Quận 10, TP Hồ Chí Minh",7.6,https://batdongsan.vn/nha-hem-xe-ba-gac-rong-80m2-duong-cmt8-quan-10-moi-dep-chi-76-ty-r268644
Bán Nhà riêng,50,,,"Hà Đông, Hà Nội",3.15,https://batdongsan.vn/ban-nha-gia-re-ha-tri-ha-dong-50m2-3-thoang-gia-chi-hon-60trm-r268643
Bán Nhà riêng,52,6,4,"Gò Vấp, TP Hồ Chí Minh",9.8,https://batdongsan.vn/go-vap-thong-nhat-phuong-11-hxh-6m-52m2-6-tang-chi-98-ty-r268639
Bán Nhà riêng,105,2,5,"Gò Vấp, TP Hồ Chí Minh",8,https://batdongsan.vn/ban-nha-pvc-phuong-9-go-vap-hxh-6m-105m2-5x21-2-tang-chi-8-ty-r268638
Bán Nhà mặt phố,115,2,3,"Sơn Trà, Đà Nẵng",6.2,https://batdongsan.vn/ban-nha-mat-tien-duong-le-van-thu-canh-cho-man-thai-son-tra-da-nang-dt-115m2-chi-62-ty-r268637
Bán Nhà riêng,48,5,4,"Hồng Bàng, Hải Phòng",5.9,https://batdongsan.vn/ban-nha-5-tang-thang-may-sin-so-sieu-dep-khu-phan-lo-bach-dang-thuong-ly-hong-bang-hai-phong-0796-336-866-r268632
Bán Nhà riêng,36,4,,"Long Biên, Hà Nội",3.4,https://batdongsan.vn/nha-dep-pho-xuan-do-long-bien-duong-rong-o-to-vao-thoang-36m2x-4-tang-mat-5m-3-ty-4-r268623
Bán Nhà riêng,48,3,3,"Tân Bình, TP Hồ Chí Minh",5.5,https://batdongsan.vn/gan-cong-vien-le-thi-rieng-p6-tan-binh-48m2-3-tang-gia-nhinh-5-ty-r268621
Bán Nhà riêng,78,4,4,"Hồng Bàng, Hải Phòng",13.2,https://batdongsan.vn/ban-villa-4-tang-khu-nha-o-cao-cap-97-bach-dang-ha-ly-hong-bang-hai-phong-0796-336-866-r268620
Bán Nhà mặt phố,56,1,2,"Thủ Đức, TP Hồ Chí Minh",4.7,https://batdongsan.vn/ban-nha-mtkd-giao-ql13-hbp-56m2-shr-chi-hon-4-ty-thu-duc-r268619
Bán Nhà riêng,36,1,,"Bình Tân, TP Hồ Chí Minh",3.45,https://batdongsan.vn/ban-nha-hxh-thong-duong-so-14-le-van-quoi-dt-4x9m-1-lau-gia-345-ty-tl-lien-he-ngay-r268618
Bán Nhà riêng,50,2,,"Bình Tân, TP Hồ Chí Minh",5.5,https://batdongsan.vn/ban-nha-hxh-duong-so-22-le-van-quoi-dt-45x11m-2-lau-gia-55-ty-tl-lien-he-ngay-r268617
Bán Nhà mặt phố,106,2,3,"Quận 9, TP Hồ Chí Minh",4.9,https://batdongsan.vn/ban-nha-2-mat-hxt-cach-mtd-dinh-phong-phu-15m-106m2-2-tang-tnp-thu-duc-chi-49-ty-r268616
